Fox_ID,Year,Julian_day,Distance_traveled,Prop_active
926020,2019,167,42502.0081707795,0.424842767295597
926020,2019,168,42874.9477077603,0.470031545741325
926020,2019,169,36572.8666208454,0.419558359621451
926020,2019,170,42199.8274160984,0.437341772151899
926020,2019,171,33085.9966660222,0.425236593059937
926020,2019,172,50707.716622626,0.551419558359622
926020,2019,173,48532.8117678279,0.482389937106918
926020,2019,174,35132.9954556447,0.460634920634921
926020,2019,175,34738.3831890668,0.384177215189873
926020,2019,176,31735.7751606155,0.343354430379747
926020,2019,177,42740.5769791665,0.536858974358974
926020,2019,178,40757.081244149,0.480379746835443
926020,2019,179,34367.8900070483,0.495268138801262
926020,2019,180,35821.8768881055,0.482539682539682
926020,2019,181,33508.6931414198,0.375285171102662
