Year,Farm,YearFarmNB,wing,BD,AG,MAX,RN,HD,WT,FDM,Comp.1,Comp.2
2012,1,2012_01_07,48.8,0.906903009,ASY,2.152684375,-1.419281665,-0.414589121,-0.571420351,1.372662427,1.699746906,0.838040612
2014,1,2014_01_07,46.7,-0.963708045,ASY,-0.39561138,1.288272588,-1.005907539,-0.571420351,0.753597991,1.890410036,1.171511361
2011,1,2011_01_08,41.09,-0.028402518,ASY,0.35770003,-1.24270204,-1.005907539,-0.569092471,-0.130291065,2.551714255,1.693722891
2008,1,2008_01_08,39.37,0.906903009,ASY,0.112328184,-0.698248196,0.373835436,-0.569092471,0.192891843,2.320150972,0.903748429
2007,1,2007_01_08,53.45,-0.963708045,ASY,1.743290377,-1.301561915,-0.414589121,-0.569092471,-0.518903525,1.360847608,0.080689682
2007,1,2007_01_08,54.05,-0.963708045,ASY,1.743290377,-1.301561915,-0.414589121,-0.569092471,-0.518903525,1.360847608,0.080689682
2006,1,2006_01_08,34.17,-0.743636156,ASY,-0.717041885,0.723217787,-1.005907539,-0.569092471,-0.111103366,1.378830176,-0.703936242
2011,1,2011_01_08,50.33,-0.028402518,ASY,0.35770003,-1.24270204,-1.005907539,-0.569092471,-0.130291065,2.551714255,1.693722891
2011,1,2011_01_08,46.62,-0.028402518,ASY,0.35770003,-1.24270204,-1.005907539,-0.569092471,-0.130291065,2.551714255,1.693722891
2009,1,2009_01_08,47.8,-0.028402518,ASY,-1.064266197,-0.183224289,-1.005907539,-0.569092471,1.365111837,1.850624492,0.517754245
2008,1,2008_01_08,24.25,0.906903009,ASY,0.112328184,-0.698248196,0.373835436,-0.569092471,0.192891843,2.320150972,0.903748429
2010,1,2010_01_08,42.75,-1.128761961,ASY,-1.603290604,0.6702439,-1.597225958,-0.569092471,0.116364809,2.518344944,1.709280416
2008,1,2008_01_08,42.86,0.906903009,ASY,0.112328184,-0.698248196,0.373835436,-0.569092471,0.192891843,2.320150972,0.903748429
