Year,Farm,YearFarmNB,masse16,BD,AG,MAX,RN,HD,WT,FDM,Comp.1,Comp.2
2016,1,2016_01_07,20.78,-0.034601492,ASY,-0.614562977,-1.164091567,0.171450263,-0.573764206,-0.913531446,2.454829477,2.231954541
2016,1,2016_01_07,20.76,-0.034601492,ASY,-0.614562977,-1.164091567,0.171450263,-0.573764206,-0.913531446,2.454829477,2.231954541
2008,1,2008_01_07,20.6,0.90005954,ASY,0.503072558,-0.436271016,-0.81362671,-0.573764206,-0.226875926,2.320150972,0.903748429
2012,1,2012_01_07,24.67,0.90005954,ASY,2.140339464,-1.416600738,-0.419595921,-0.573764206,1.371449953,1.699746906,0.838040612
2014,1,2014_01_07,22.28,-0.969262525,ASY,-0.397226662,1.316439698,-1.010642104,-0.573764206,0.750782833,1.890410036,1.171511361
2012,1,2012_01_07,20.82,0.90005954,ASY,2.140339464,-1.416600738,-0.419595921,-0.573764206,1.371449953,1.699746906,0.838040612
2016,1,2016_01_07,22.17,-0.034601492,ASY,-0.614562977,-1.164091567,0.171450263,-0.573764206,-0.913531446,2.454829477,2.231954541
2008,1,2008_01_07,21.56,0.90005954,ASY,0.503072558,-0.436271016,-0.81362671,-0.573764206,-0.226875926,2.320150972,0.903748429
2014,1,2014_01_07,21.72,-0.969262525,ASY,-0.397226662,1.316439698,-1.010642104,-0.573764206,0.750782833,1.890410036,1.171511361
2008,1,2008_01_07,19.83,0.90005954,ASY,0.503072558,-0.436271016,-0.81362671,-0.573764206,-0.226875926,2.320150972,0.903748429
2016,1,2016_01_07,19.55,-0.034601492,ASY,-0.614562977,-1.164091567,0.171450263,-0.573764206,-0.913531446,2.454829477,2.231954541
2012,1,2012_01_07,21.72,0.90005954,ASY,2.140339464,-1.416600738,-0.419595921,-0.573764206,1.371449953,1.699746906,0.838040612
2014,1,2014_01_07,20.18,-0.969262525,ASY,-0.397226662,1.316439698,-1.010642104,-0.573764206,0.750782833,1.890410036,1.171511361
2014,1,2014_01_07,20.22,-0.969262525,ASY,-0.397226662,1.316439698,-1.010642104,-0.573764206,0.750782833,1.890410036,1.171511361
2014,1,2014_01_08,18.64,0.90005954,ASY,-0.002069726,0.692593511,-1.404672893,-0.571446301,0.61549663,1.890410036,1.171511361
2014,1,2014_01_08,18.55,0.90005954,ASY,-0.002069726,0.692593511,-1.404672893,-0.571446301,0.61549663,1.890410036,1.171511361
2014,1,2014_01_08,18.6,0.90005954,ASY,-0.002069726,0.692593511,-1.404672893,-0.571446301,0.61549663,1.890410036,1.171511361
2007,1,2007_01_08,19.07,-0.969262525,ASY,1.732669225,-1.297772893,-0.419595921,-0.571446301,-0.525013038,1.360847608,0.080689682
2009,1,2009_01_08,21.25,-0.034601492,ASY,-1.0630661,-0.168908365,-1.010642104,-0.571446301,1.363879816,1.850624492,0.517754245
