idanimal	herd	year	dwin	ewin	x	y	cluster
98061103	1	2000	36530	36645	-120110.9451	1555897.277	4
98061103	1	2001	36855	37015	-124223.8751	1377224.806	3
98061103	1	2002	37240	37370	174616.4238	1077978.065	3
98061103	1	2003	37580	37735	305344.9904	1076713.497	1
98061106	2	1999	36117	36197	-328757.5575	1236779.075	1
98061106	2	1999	36227	36277	-357639.0994	1608257.383	2
98061107	1	1999	36125	36275	413526.5241	1384932.661	1
98061107	1	2000	36485	36605	608801.3743	1139940.953	1
99021202	2	2000	36557	36667	-395933.6684	1893746.108	2
99021202	2	2001	36887	36922	-365315.8347	1379910.159	1
99021202	2	2001	36947	37017	-247495.9407	1789062.464	2
99021202	2	2002	37227	37372	-223931.1451	1011032.362	1
