ind	idanimal	herd	year	cluster	st_sep	st_oct	swe_sep	swe_oct	pcp_sep	pcp_oct	ndvi_jul	ndvi_aug	ndvi_sep	ndvi_oct
192	2005020	2	2006	SW	NA	-1.141860116	NA	10.740286	NA	3.061300892	0.247820233	0.351315554	NA	0.096111111
192	2005020	2	2007	SW	3.000018499	-1.972937476	2.221980268	7.563474437	6.539127201	1.718809124	0.34216965	0.345221708	0.427654747	0.217481757
194	2006000	2	2006	SW	4.224689285	-1.261981029	0.242970158	11.66199562	1.206176284	3.026986282	0.245146993	0.376377802	0.248489386	0.177401287
194	2006000	2	2007	SW	2.867763028	-0.831415407	2.491395317	6.114561857	5.570656399	1.977107538	0.293456308	0.313412047	0.282577701	0.188780689
194	2006000	2	2008	SW	3.946056714	-1.667419745	1.430545582	14.17196725	3.073084344	3.330521107	0.312702584	0.266487863	0.183981693	0.125047443
194	2006000	2	2009	SW	4.865325191	-4.046458904	0.278405392	14.37910366	2.420255648	2.478246667	0.26604736	0.31583211	0.272818968	0.120393895
194	2006000	2	2010	SW	4.795321704	-1.410376269	0.08157094	9.965207544	2.672618093	1.884688136	0.199720506	0.246444005	0.230636749	0.094236883
195	2006001	2	2006	SW	4.552463115	NA	0.217027398	NA	1.578918864	NA	0.241314527	0.342398476	0.35352738	NA
195	2006001	2	2007	SW	2.764823639	-2.103184846	2.56903354	6.081119224	5.700642214	1.69074827	0.287603988	0.277254372	0.276951365	0.168547541
196	2006002	2	2006	SW	4.06527472	-1.334512349	0.254900577	12.20018257	1.396506689	2.958263576	0.317958936	0.344608895	0.252032813	0.14237325
197	2006003	1	2006	LAB	4.522928902	-1.711038147	0.136275974	8.653122948	2.017051991	1.987675791	0.365116161	0.35586824	0.351409352	0.104250356
197	2006003	1	2007	LAB	2.661142527	-1.92918383	2.441429833	7.060418887	5.633300558	1.769306497	0.280538559	0.373547889	0.285454073	0.214886326
198	2006004	1	2006	LAB	4.389081018	-1.592553917	0.134742705	7.639645405	2.120280215	2.052267179	0.351451237	0.395970726	0.327077939	0.154664885
198	2006004	1	2007	LAB	2.686830422	-1.540410333	1.778142383	5.256002846	5.060134427	1.834246784	0.300483868	0.393799184	0.311430766	0.1743337
198	2006004	1	2008	LAB	5.40548155	-1.258556137	0.733885783	9.673938535	1.690242375	3.032326794	0.396706266	0.37266391	0.312978324	0.204218505
198	2006004	1	2009	LAB	4.42944572	-5.597615615	0.257430759	15.26698861	2.181791104	2.463237523	0.268798304	0.353817452	0.226936294	0.175971043
199	2006005	1	2006	LAB	4.417560738	-1.80341762	0.198557561	9.157293264	2.039921643	2.074696024	0.30065603	0.345083291	0.257279651	0.079528866
199	2006005	1	2007	LAB	2.782645256	-2.263463705	2.390165527	7.604709964	5.760042563	1.723466551	0.335024057	0.394289051	0.322722603	0.182848297
199	2006005	1	2008	LAB	4.652027727	-1.275628376	1.01881915	9.805313462	2.467284119	3.155174643	0.349086523	0.426898623	0.3179425	0.202690205
200	2006006	1	2006	LAB	4.42656898	-1.487256781	0.284415365	7.725401804	2.522008492	1.871959608	0.30116578	0.33962762	0.315992841	0.128617531
201	2006008	1	2006	LAB	4.367697928	-1.720186884	0.224555765	9.420335539	2.441519095	1.967119852	0.352565403	0.357141036	0.20239057	0.112574565
201	2006008	1	2007	LAB	2.028809736	-2.32455916	2.370525028	9.109237333	6.271042637	1.972209979	0.315168538	0.41784792	0.332472639	0.187051823
201	2006008	1	2008	LAB	4.490900521	-1.239234277	1.31760884	8.695556007	2.823722324	3.181747048	0.351452636	0.373991819	0.273338394	0.187003112
201	2006008	1	2009	LAB	4.758012597	-5.864033522	0.248706762	16.57452322	2.833651387	2.494194872	0.351759089	0.338247218	0.363186135	0.13467067
202	2006009	2	2006	SW	NA	-2.108459991	NA	11.30551403	NA	3.024132016	0.351759089	0.338247218	NA	0.141851782
202	2006009	2	2009	SW	5.066508802	-3.281074099	0.311733664	14.05312245	2.288694924	2.715633681	0.30096002	0.327176403	0.328800776	0.070947112
202	2006009	2	2010	SW	4.754744909	-1.992325745	0.052424914	12.90707808	2.950716256	1.919528387	0.306383767	0.266553903	0.164793615	0.076185338
215	2007022	1	2007	SW	2.791214697	-3.565424775	1.885514208	15.121198	6.566953263	2.191202064	0.282334067	0.437566068	0.310840316	0.173188132
215	2007022	1	2008	LAB	5.198542576	-1.075050274	1.021449992	9.375461345	2.429503975	2.98445827	0.359210949	0.3909004	0.281804382	0.214556416
219	2007026	1	2007	LAB	2.625383022	-2.111742324	1.936730124	7.45219282	5.312947534	1.791122749	0.276158706	0.407707287	0.309008627	0.167026794
219	2007026	1	2008	LAB	5.403424442	-1.189348174	0.335576721	9.22171484	1.716073273	3.04576937	0.426660263	0.42189061	0.279784195	0.244549109
220	2007027	1	2007	LAB	3.020322757	-2.315414506	2.32849112	8.437050934	5.815684682	1.724192635	0.304579842	0.406730589	0.34775194	0.190536176
220	2007027	1	2008	LAB	5.209234687	-1.26291811	0.560672994	9.006983421	1.697719079	2.869406676	0.436929151	0.380682336	0.281422022	0.224836097
221	2007028	1	2007	LAB	3.211868394	-2.600797849	3.064174411	7.41247808	5.934985991	1.697254402	0.252398452	0.355631298	0.236594948	0.165376859
221	2007028	1	2008	LAB	5.31555153	-0.968482071	0.808224592	7.577015509	1.636144009	2.797384039	0.412048981	0.413087585	0.295241358	0.225439398
222	2007029	1	2007	CEN	1.956635197	-2.209175207	2.434113451	7.906034908	5.775076656	1.758377537	0.295545945	0.454517195	0.310675795	0.213247104
222	2007029	1	2008	LAB	4.488699641	-1.104729063	1.309683265	8.747432416	2.770504857	3.194120379	0.416093481	0.439960064	0.307201046	0.212301075
